Sequence,Fund,16/09/2026,17/09/2026
1,BGF World Gold Fund A2 SGD H (BWGF),16.51,
2,BGF World Mining A2 SGD Hedged (BWMF),9.13,
3,Ninety One Global Gold A Acc SGD (NGGS),90.92,
4,BGF World Energy Fund A2 SGD H (BWES),9.64,
5,BGF Sustainable Energy Fund ... H (BSES),21.37,
6,Franklin Biotechnology Disco...GD (FBIO),63.73,
7,Manulife Global Fund - Healt...CC (MGHC),12.0213,
8,United Global Healthcare Fun...GD (UGHF),6.8981,
9,Capital Group New Economy Fu...GD (CNES),30.3335,
10,Capital Group New Economy (L...-H (CGNH),29.9546,
11,Allianz Global Artificial In...F) (AGAC),11.0147,
12,BGF Next Generation Technolo... H (BNGT),29.31,
13,Franklin US Opportunities Fu...H1 (FUSO),52.54,
14,FSSA Regional India Fund (FSRI),11.3903,
15,MGF Global Semiconductor Opp...cc (MGSO),21.3513,
16,Allianz China A-Shares AT SGD Acc (ACAS),15.0236,
17,Allianz Oriental Income ET A...F) (AOIS),16.5427,
18,Amova Investment Funds - Amo...GD (NSAD),1.9806,
19,Neuberger Berman EM Debt Har...MD (NEMD),14.33,
20,abrdn SICAV I - Global Dynam... H (AGDD),22.1664,
21,Manulife Global Fund - Globa...G) (MGMD),0.7558,
22,Schroder Asian Income Fund SGD (SAIS),0.992,
23,Schroder Asian Equity Yield A (SAEY),1.589,
24,Schroder Asian Growth Fund SGD (SAGF),4.491,
25,Schroder Multi-Asset Revolut... A (TGEG),1.673,
26,Manulife SGD Income Fund A-M...GD (AIEF),0.75,
27,Allianz Income and Growth AM...D) (AIGA),7.4926,
28,United SGD Fund Class A SGD (USFS),2.1908,
29,United SGD Money Market Fund...CC (USMM),1.124,
30,Fullerton SGD Cash A (LGAU),,1.2329
31,Allianz Best Styles Global E...GD (ABGE),26.8667,
32,Manulife GF Sustainable Asia...CC (MSAE),14.6056,
33,Schroder Singapore Trust Cla...cc (SSTA),2.463,
34,Allspring (Lux) Global Equit...-H (ASGI),124.25,
35,Neuberger Berman Commodities...cc (NBCF),21.15,
